lambd	alpha	auroc	auprc
0.0	0.0	0.9284	0.8438
0.0	0.1	0.9617	0.9389
0.0	0.2	0.973	0.9624
0.0	0.3	0.9754	0.9681
0.0	0.4	0.976	0.9706
0.0	0.5	0.976	0.9706
0.0	0.6	0.9761	0.9706
0.0	0.7	0.9798	0.9713
0.0	0.8	0.9823	0.9768
0.0	0.9	0.9823	0.9767
0.0	1.0	0.979	0.9604
0.1	0.0	0.9286	0.8445
0.1	0.1	0.9543	0.922
0.1	0.2	0.9654	0.941
0.1	0.3	0.972	0.9576
0.1	0.4	0.9746	0.9655
0.1	0.5	0.976	0.97
0.1	0.6	0.9766	0.9706
0.1	0.7	0.9797	0.9713
0.1	0.8	0.9824	0.9768
0.1	0.9	0.9824	0.9768
0.1	1.0	0.979	0.9604
0.2	0.0	0.929	0.8453
0.2	0.1	0.9478	0.8924
0.2	0.2	0.9607	0.9293
0.2	0.3	0.969	0.9478
0.2	0.4	0.9722	0.9564
0.2	0.5	0.9745	0.9629
0.2	0.6	0.978	0.9685
0.2	0.7	0.9814	0.9724
0.2	0.8	0.9825	0.9768
0.2	0.9	0.9827	0.9768
0.2	1.0	0.9803	0.9612
0.3	0.0	0.9297	0.8459
0.3	0.1	0.9473	0.8863
0.3	0.2	0.9613	0.9254
0.3	0.3	0.9692	0.9462
0.3	0.4	0.9724	0.9549
0.3	0.5	0.9763	0.9615
0.3	0.6	0.9792	0.9673
0.3	0.7	0.9831	0.9767
0.3	0.8	0.9831	0.9769
0.3	0.9	0.9831	0.9769
0.3	1.0	0.9748	0.9597
0.4	0.0	0.9307	0.8477
0.4	0.1	0.95	0.8902
0.4	0.2	0.9646	0.9304
0.4	0.3	0.971	0.9507
0.4	0.4	0.9751	0.9576
0.4	0.5	0.9784	0.9639
0.4	0.6	0.9822	0.9707
0.4	0.7	0.9834	0.977
0.4	0.8	0.9834	0.977
0.4	0.9	0.9834	0.977
0.4	1.0	0.9748	0.9597
0.5	0.0	0.9327	0.8504
0.5	0.1	0.9568	0.9042
0.5	0.2	0.9702	0.9442
0.5	0.3	0.9754	0.9561
0.5	0.4	0.979	0.9629
0.5	0.5	0.9828	0.9695
0.5	0.6	0.9842	0.977
0.5	0.7	0.9839	0.9775
0.5	0.8	0.9839	0.9773
0.5	0.9	0.9837	0.9771
0.5	1.0	0.9745	0.9588
0.6	0.0	0.935	0.8321
0.6	0.1	0.9737	0.9435
0.6	0.2	0.9811	0.9631
0.6	0.3	0.9861	0.9727
0.6	0.4	0.9863	0.9729
0.6	0.5	0.9865	0.9756
0.6	0.6	0.9868	0.9791
0.6	0.7	0.9868	0.9795
0.6	0.8	0.9868	0.9796
0.6	0.9	0.9869	0.9797
0.6	1.0	0.9817	0.9609
0.7	0.0	0.2688	0.0647
0.7	0.1	0.6586	0.3203
0.7	0.2	0.9039	0.8294
0.7	0.3	0.9411	0.8941
0.7	0.4	0.9616	0.9352
0.7	0.5	0.9694	0.9468
0.7	0.6	0.9752	0.9625
0.7	0.7	0.9746	0.9631
0.7	0.8	0.9742	0.9631
0.7	0.9	0.974	0.963
0.7	1.0	0.983	0.9624
0.8	0.0	0.1304	0.0483
0.8	0.1	0.2155	0.0527
0.8	0.2	0.3773	0.0928
0.8	0.3	0.6241	0.2636
0.8	0.4	0.8532	0.6888
0.8	0.5	0.9073	0.8561
0.8	0.6	0.9359	0.8945
0.8	0.7	0.9565	0.9345
0.8	0.8	0.9684	0.9532
0.8	0.9	0.9714	0.9626
0.8	1.0	0.9803	0.9606
0.9	0.0	0.0869	0.0469
0.9	0.1	0.1057	0.0476
0.9	0.2	0.1416	0.0557
0.9	0.3	0.2095	0.0665
0.9	0.4	0.3422	0.114
0.9	0.5	0.5783	0.2165
0.9	0.6	0.8423	0.6784
0.9	0.7	0.9065	0.8618
0.9	0.8	0.944	0.9128
0.9	0.9	0.9679	0.9542
0.9	1.0	0.9817	0.9609
1.0	0.0	0.0768	0.0467
1.0	0.1	0.0843	0.0477
1.0	0.2	0.0955	0.0538
1.0	0.3	0.1135	0.0546
1.0	0.4	0.1414	0.0563
1.0	0.5	0.2066	0.0864
1.0	0.6	0.3603	0.1421
1.0	0.7	0.6795	0.3319
1.0	0.8	0.8961	0.8568
1.0	0.9	0.9514	0.9319
1.0	1.0	0.9817	0.9609
